accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-1.00,-0.03,-0.39,51.51,-22.03,10.44,0.00,0.00,1.13,0.00,2
-0.46,-0.23,-1.03,15.93,-23.38,52.31,0.00,0.00,0.00,0.00,2
-0.87,0.15,-0.61,107.36,10.50,41.50,0.00,0.38,0.22,0.00,2
-0.31,-0.38,-0.94,73.43,-69.64,44.92,0.00,0.00,0.00,0.00,2
-0.83,0.18,-0.92,-52.86,48.46,-50.78,0.00,0.29,0.00,0.00,2
-0.67,0.06,0.45,20.45,-26.79,0.18,0.00,0.00,0.00,0.00,2
-0.82,-0.07,-0.99,-2.20,9.89,-2.20,0.30,0.11,0.00,0.00,2
-0.52,0.59,-0.61,-83.13,145.08,-179.20,0.00,0.00,0.00,0.00,2
-0.72,0.15,-1.05,0.49,3.54,-3.54,0.06,0.23,0.00,0.00,2
-0.94,0.56,-0.67,100.10,175.17,24.05,0.00,0.00,0.00,0.00,2
-0.70,-0.07,-1.03,10.68,15.69,1.16,0.15,0.23,0.00,0.00,2
-1.40,0.57,-0.83,49.87,-141.54,-49.26,0.00,0.00,0.00,0.00,2
-0.86,0.14,-0.96,0.73,38.33,9.34,0.14,0.25,0.00,0.00,2
-1.04,-0.17,-0.95,88.13,-164.92,77.82,0.00,0.00,0.00,0.00,2
-0.79,0.09,-0.88,25.88,28.81,-36.44,0.00,0.14,0.25,0.00,2
-1.04,0.10,-0.51,4.88,-35.52,-2.08,0.16,0.28,0.56,0.00,2
-2.02,0.58,-0.77,-61.83,-116.70,26.61,0.05,0.14,0.00,0.00,2
-1.04,0.26,-0.49,-13.73,-39.43,-48.77,0.00,0.00,0.80,0.00,2
-1.92,-0.24,-1.12,-23.01,111.69,203.19,0.00,0.00,0.00,0.00,2
-1.18,0.23,-0.17,60.91,-143.01,6.53,0.00,0.00,0.11,0.00,2
-0.85,0.03,-0.49,-128.60,89.42,-117.00,0.00,0.00,0.62,0.00,2
-1.01,-0.18,-0.71,84.11,-121.64,85.39,0.00,0.00,0.00,0.00,2
-0.65,0.12,-0.50,-7.32,70.07,-5.13,0.00,0.00,0.44,0.00,2
-1.22,0.32,-0.57,53.10,-174.62,-21.67,0.00,0.00,0.00,0.00,2
-0.81,0.05,-0.85,33.63,32.10,-77.27,0.00,0.00,0.09,0.00,2
-1.00,-0.01,-0.46,-18.80,-37.35,-2.62,0.09,0.05,0.63,0.00,2
-0.14,-0.20,-1.44,7.08,220.46,34.79,0.00,0.00,0.00,0.00,2
-1.02,0.04,-0.65,-42.11,26.43,-22.95,0.25,0.08,0.00,0.00,2
-0.36,-0.22,-1.08,-48.77,-46.14,-28.63,0.00,0.00,0.00,0.00,2
-0.88,0.08,-0.64,-25.09,12.15,-26.31,0.00,0.00,0.44,0.00,2
-0.89,-0.02,-0.69,224.73,21.36,80.08,0.00,0.00,0.00,0.00,2
-1.02,-0.06,-0.48,-30.52,43.52,-54.93,0.00,0.00,0.43,0.00,2
-0.98,0.04,-0.30,46.20,-19.41,-1.16,0.00,0.00,0.95,0.00,2
-0.53,0.51,-1.12,52.80,96.80,-18.31,0.00,0.00,0.00,0.00,2
-0.91,0.11,-0.57,-35.71,69.89,-30.46,0.00,0.00,0.81,0.00,2
-0.93,0.25,-0.57,-41.99,168.76,23.93,0.00,0.00,0.00,0.00,2
-0.97,-0.08,-0.75,39.12,29.66,11.35,0.00,0.00,0.25,0.00,2
-0.92,0.17,-0.61,-28.02,-65.61,-16.54,0.10,0.00,0.40,0.00,2
-0.86,1.39,-0.77,-118.10,-14.71,-18.01,0.00,0.00,0.00,0.00,2
-0.93,0.06,-0.69,-33.26,29.11,3.36,0.13,0.26,0.60,0.00,2
-1.03,-0.30,-1.13,27.40,-127.38,38.45,0.12,0.00,0.00,0.00,2
-1.05,0.33,-0.57,1.65,-20.63,-51.03,0.00,0.00,0.00,0.00,2
-0.45,0.09,-0.62,69.03,-63.60,136.60,0.00,0.00,0.00,0.00,2
-0.89,0.22,-0.70,40.10,-69.95,12.08,0.00,0.00,0.00,0.00,2
-0.34,0.09,-1.13,-83.07,44.49,-62.99,0.19,0.00,0.00,0.00,2
-0.68,-0.12,-0.78,19.96,16.42,-65.19,0.00,0.00,0.00,0.00,2
-0.99,0.28,-0.98,46.39,-24.05,19.35,0.00,0.00,0.31,0.00,2
